item,itemLabel,year,genreLabel
http://www.wikidata.org/entity/Q65954024,Maria Gallia,1906,female
http://www.wikidata.org/entity/Q4972273,Aili Pekonen,1907,female
http://www.wikidata.org/entity/Q1685654,Jean Louis,1907,male
http://www.wikidata.org/entity/Q24203328,Dolores Gonzales,1907,female
http://www.wikidata.org/entity/Q18324766,Mattli,1907,male
http://www.wikidata.org/entity/Q3439560,Roger Vivier,1907,male
http://www.wikidata.org/entity/Q19281707,Mildred Blount,1907,female
http://www.wikidata.org/entity/Q20017177,Marguerite Rostan,1907,female
http://www.wikidata.org/entity/Q7926371,Victor Stiebel,1907,male
http://www.wikidata.org/entity/Q94874982,Margarete Schulze,1907,male
http://www.wikidata.org/entity/Q71966524,Františka Inka Bálková,1907,female
http://www.wikidata.org/entity/Q54356768,Armando Valdés Peza,1907,male
http://www.wikidata.org/entity/Q532118,Pauline Trigère,1908,female
http://www.wikidata.org/entity/Q601402,Antonio Castillo,1908,male
http://www.wikidata.org/entity/Q112514263,Suzanne Luling,1908,female
http://www.wikidata.org/entity/Q5566446,Gladys Parker,1908,female
http://www.wikidata.org/entity/Q17193149,Haru Isomura,1908,female
http://www.wikidata.org/entity/Q6762711,Marie-Paule Nolin,1908,female
http://www.wikidata.org/entity/Q6820455,Merry Hull,1908,female
http://www.wikidata.org/entity/Q19592309,Voris,1908,female
http://www.wikidata.org/entity/Q29163627,Sydney Wragge,1908,male
http://www.wikidata.org/entity/Q47520813,Irene Gilbert,1908,female
http://www.wikidata.org/entity/Q65126106,Giovanni Cesare Guidi,1908,male
http://www.wikidata.org/entity/Q25982933,Carolyn Schnurer,1908,female
http://www.wikidata.org/entity/Q354423,Adele Filene,1909,female
http://www.wikidata.org/entity/Q17403688,Muriel Pemberton,1909,female
http://www.wikidata.org/entity/Q565947,Willy Bogner,1909,male
http://www.wikidata.org/entity/Q5346492,Edwin Hardy Amies,1909,male
http://www.wikidata.org/entity/Q5956342,Hyman B. Samuels,1909,male
http://www.wikidata.org/entity/Q24039480,Herta Groves,1909,female
http://www.wikidata.org/entity/Q17508403,Charles Creed,1909,male
http://www.wikidata.org/entity/Q6112177,Rosa Graña Garland,1909,female
http://www.wikidata.org/entity/Q2939637,Marie-Louise Carven,1909,female
http://www.wikidata.org/entity/Q32132477,Tân Hēng-chhun,1909,female
http://www.wikidata.org/entity/Q8066524,Zara Bate,1909,female
http://www.wikidata.org/entity/Q124705386,Ferry Offerman,1909,male
http://www.wikidata.org/entity/Q15215572,Lola Beer Ebner,1910,female
http://www.wikidata.org/entity/Q450022,Irene Sharaff,1910,female
http://www.wikidata.org/entity/Q558142,Ann Bonfoey Taylor,1910,female
http://www.wikidata.org/entity/Q110818885,Gertrude Shilling,1910,female
http://www.wikidata.org/entity/Q25630264,Tina Leser,1910,female
http://www.wikidata.org/entity/Q17626863,Michael Sherard,1910,male
http://www.wikidata.org/entity/Q3225394,Marcel Escoffier,1910,male
http://www.wikidata.org/entity/Q7152282,Paul Mausner,1910,male
http://www.wikidata.org/entity/Q11537570,Yōko Kuwasawa,1910,female
http://www.wikidata.org/entity/Q110288657,Emily Miles,1910,female
http://www.wikidata.org/entity/Q71794911,Elfriede Fischinger,1910,female
http://www.wikidata.org/entity/Q75274479,Miguel Ferreras,1910,male
http://www.wikidata.org/entity/Q122196631,Lila Bath,1910,female
http://www.wikidata.org/entity/Q122542716,Margaret Mullin,1910,female
http://www.wikidata.org/entity/Q122542877,Cloteele T. Raspberry,1910,female
http://www.wikidata.org/entity/Q55282006,Alberto Fabiani,1910,male
http://www.wikidata.org/entity/Q55282054,Giovanna Caracciolo,1910,female
http://www.wikidata.org/entity/Q60045991,Rudi Verdonik,1910,male
http://www.wikidata.org/entity/Q63385290,Michiko Yamawaki,1910,female
http://www.wikidata.org/entity/Q65953248,Franco Bertoli,1910,male
http://www.wikidata.org/entity/Q433293,Ted Tinling,1910,male
http://www.wikidata.org/entity/Q256388,Lisa Fonssagrives,1911,female
http://www.wikidata.org/entity/Q4997872,Bunny Roger,1911,male
http://www.wikidata.org/entity/Q12165460,Q12165460,1911,female
http://www.wikidata.org/entity/Q5338653,Edith Reuss,1911,female
http://www.wikidata.org/entity/Q26222222,Zoe Fontana,1911,female
http://www.wikidata.org/entity/Q107327324,Berthe De Camps,1911,female
http://www.wikidata.org/entity/Q87479369,Pierre Grisot,1911,male
http://www.wikidata.org/entity/Q94640068,Wilson Folmar,1911,male
http://www.wikidata.org/entity/Q52210576,Ramon Valera,1912,male
http://www.wikidata.org/entity/Q89478,Elisabeth von Janota-Bzowski,1912,female
http://www.wikidata.org/entity/Q11836295,Marjorie Montgomery,1912,female
http://www.wikidata.org/entity/Q5057360,Ceil Chapman,1912,female
